Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.928254842758	0	19.6538461538	11.1990463457	78.0	9.0	19.6538461538	11.1990463457	1022	1022
1.27012991905	1	22.2444444444	12.492051794	84.0	10.0	22.2444444444	12.492051794	1001	2023
1.59633803368	2	23.8333333333	12.0552629619	62.0	8.0	23.8333333333	12.0552629619	1001	3024
1.93148803711	3	23.4651162791	10.6144895203	56.0	12.0	23.4651162791	10.6144895203	1009	4033
2.2419989109	4	23.4651162791	11.2215507721	51.0	9.0	23.4651162791	11.2215507721	1009	5042
3.21469902992	5	24.8536585366	13.164180846	71.0	8.0	24.8536585366	13.164180846	1019	6061
3.51458287239	6	28.1944444444	17.2398431361	83.0	13.0	28.1944444444	17.2398431361	1015	7076
3.8261449337	7	36.25	22.9683400109	105.0	10.0	36.25	22.9683400109	1015	8091
4.11133098602	8	27.5	14.6893265941	83.0	9.0	27.5	14.6893265941	1045	9136
4.4166829586	9	36.3448275862	19.7855326143	81.0	10.0	36.3448275862	19.7855326143	1054	10190
4.73293995857	10	36.0	16.3270152989	74.0	14.0	36.0	16.3270152989	1008	11198
5.09418392181	11	40.12	17.9205357063	85.0	9.0	40.12	17.9205357063	1003	12201
5.41640305519	12	42.0	18.5674446276	88.0	19.0	42.0	18.5674446276	1008	13209
5.74308586121	13	40.64	17.7017061325	80.0	14.0	40.64	17.7017061325	1016	14225
6.07901597023	14	39.0769230769	17.8690171847	88.0	14.0	39.0769230769	17.8690171847	1016	15241
6.4022538662	15	33.1290322581	19.8993304077	92.0	13.0	33.1290322581	19.8993304077	1027	16268
6.68846702576	16	47.0	16.4095315982	83.0	19.0	47.0	16.4095315982	1034	17302
7.04292798042	17	50.4	25.3937000061	110.0	15.0	50.4	25.3937000061	1008	18310
7.34107089043	18	50.85	22.1997184667	100.0	18.0	50.85	22.1997184667	1017	19327
7.68871188164	19	50.0952380952	17.8989352221	90.0	24.0	50.0952380952	17.8989352221	1052	20379
8.03977489471	20	51.5	25.5235185662	109.0	18.0	51.5	25.5235185662	1030	21409
8.39279103279	21	70.8125	48.9824187209	200.0	25.0	70.8125	48.9824187209	1133	22542
8.72317504883	22	48.2380952381	19.6442279464	86.0	16.0	48.2380952381	19.6442279464	1013	23555
9.05669188499	23	52.2857142857	21.1032447452	113.0	27.0	52.2857142857	21.1032447452	1098	24653
9.37738895416	24	68.25	41.2590899076	200.0	25.0	68.25	41.2590899076	1092	25745
9.65920591354	25	57.7222222222	27.1207291682	141.0	24.0	57.7222222222	27.1207291682	1039	26784
9.96388888359	26	52.35	27.6699747018	105.0	13.0	52.35	27.6699747018	1047	27831
10.2436108589	27	52.4	24.0611720413	145.0	27.0	52.4	24.0611720413	1048	28879
10.5495219231	28	58.0	21.0317220725	98.0	24.0	58.0	21.0317220725	1044	29923
10.8880808353	29	65.625	25.8623157316	115.0	27.0	65.625	25.8623157316	1050	30973
11.2426829338	30	59.8823529412	18.7267733879	102.0	25.0	59.8823529412	18.7267733879	1018	31991
11.5307860374	31	77.3076923077	33.1160770052	128.0	19.0	77.3076923077	33.1160770052	1005	32996
11.8160059452	32	68.9333333333	26.2766478498	123.0	35.0	68.9333333333	26.2766478498	1034	34030
12.175634861	33	86.6666666667	41.1427055773	170.0	27.0	86.6666666667	41.1427055773	1040	35070
12.5238878727	34	76.0	30.4865309838	145.0	36.0	76.0	30.4865309838	1064	36134
12.8526649475	35	86.4166666667	38.784572391	159.0	37.0	86.4166666667	38.784572391	1037	37171
13.1653559208	36	83.3846153846	24.2631041883	128.0	43.0	83.3846153846	24.2631041883	1084	38255
13.4636149406	37	68.2666666667	21.4459527391	111.0	39.0	68.2666666667	21.4459527391	1024	39279
13.7676129341	38	77.6153846154	31.4851331499	142.0	42.0	77.6153846154	31.4851331499	1009	40288
14.0890200138	39	72.1428571429	17.4595742988	115.0	46.0	72.1428571429	17.4595742988	1010	41298
14.3695759773	40	77.9230769231	39.3122833387	169.0	21.0	77.9230769231	39.3122833387	1013	42311
14.6838860512	41	64.4375	17.3888209419	94.0	41.0	64.4375	17.3888209419	1031	43342
15.0023880005	42	79.9230769231	26.4210333999	131.0	44.0	79.9230769231	26.4210333999	1039	44381
15.3694310188	43	71.4666666667	24.7517451686	127.0	30.0	71.4666666667	24.7517451686	1072	45453
15.6565299034	44	93.0909090909	35.2664005573	145.0	35.0	93.0909090909	35.2664005573	1024	46477
15.9735300541	45	75.3571428571	31.8604258398	121.0	22.0	75.3571428571	31.8604258398	1055	47532
16.2906808853	46	77.5714285714	43.7063484858	200.0	26.0	77.5714285714	43.7063484858	1086	48618
17.2779510021	47	93.0909090909	41.7208353125	160.0	23.0	93.0909090909	41.7208353125	1024	49642
17.6307668686	48	89.25	29.5694803246	130.0	33.0	89.25	29.5694803246	1071	50713
17.9690389633	49	87.8333333333	26.5010481973	144.0	47.0	87.8333333333	26.5010481973	1054	51767
18.3059589863	50	101.9	41.4426109216	173.0	29.0	101.9	41.4426109216	1019	52786
18.659318924	51	98.3636363636	29.0681729334	168.0	52.0	98.3636363636	29.0681729334	1082	53868
19.0045249462	52	105.5	46.4483584209	200.0	23.0	105.5	46.4483584209	1055	54923
19.3429739475	53	98.9090909091	34.8671623202	152.0	48.0	98.9090909091	34.8671623202	1088	56011
19.6258289814	54	115.111111111	30.0793190099	164.0	62.0	115.111111111	30.0793190099	1036	57047
19.966616869	55	133.875	36.709799441	176.0	51.0	133.875	36.709799441	1071	58118
20.274862051	56	129.25	47.8114787473	200.0	62.0	129.25	47.8114787473	1034	59152
20.6187758446	57	139.25	50.8226081582	200.0	61.0	139.25	50.8226081582	1114	60266
20.9564929008	58	179.666666667	29.1242548784	200.0	131.0	179.666666667	29.1242548784	1078	61344
21.2915449142	59	167.0	47.8121323515	200.0	83.0	167.0	47.8121323515	1002	62346
21.5800559521	60	134.75	51.5382139776	200.0	44.0	134.75	51.5382139776	1078	63424
22.0060338974	61	170.142857143	37.4372945124	200.0	99.0	170.142857143	37.4372945124	1191	64615
22.3578369617	62	186.333333333	13.7194104182	200.0	171.0	186.333333333	13.7194104182	1118	65733
22.7343480587	63	181.166666667	29.3281245375	200.0	118.0	181.166666667	29.3281245375	1087	66820
23.0641489029	64	161.0	48.8057373676	200.0	52.0	161.0	48.8057373676	1127	67947
23.3656740189	65	183.0	33.2465537061	200.0	109.0	183.0	33.2465537061	1098	69045
23.7086589336	66	190.333333333	13.6829171678	200.0	170.0	190.333333333	13.6829171678	1142	70187
24.0281238556	67	190.166666667	21.9880017787	200.0	141.0	190.166666667	21.9880017787	1141	71328
24.3664808273	68	182.666666667	26.4049658629	200.0	131.0	182.666666667	26.4049658629	1096	72424
24.6702418327	69	175.833333333	50.971942173	200.0	62.0	175.833333333	50.971942173	1055	73479
25.040997982	70	198.0	4.472135955	200.0	188.0	198.0	4.472135955	1188	74667
25.3745448589	71	184.5	34.6590536512	200.0	107.0	184.5	34.6590536512	1107	75774
25.7271578312	72	190.5	17.528548143	200.0	152.0	190.5	17.528548143	1143	76917
26.07625103	73	199.833333333	0.37267799625	200.0	199.0	199.833333333	0.37267799625	1199	78116
26.4891269207	74	200.0	0.0	200.0	200.0	200.0	0.0	1200	79316
26.8530828953	75	194.333333333	12.6710518725	200.0	166.0	194.333333333	12.6710518725	1166	80482
27.2133009434	76	189.833333333	14.4038960779	200.0	168.0	189.833333333	14.4038960779	1139	81621
27.517138958	77	170.833333333	33.7758131739	200.0	112.0	170.833333333	33.7758131739	1025	82646
27.8279390335	78	186.333333333	30.5595956925	200.0	118.0	186.333333333	30.5595956925	1118	83764
28.1796009541	79	200.0	0.0	200.0	200.0	200.0	0.0	1200	84964
28.5627789497	80	200.0	0.0	200.0	200.0	200.0	0.0	1200	86164
28.9291489124	81	200.0	0.0	200.0	200.0	200.0	0.0	1200	87364
29.3035809994	82	197.166666667	6.33552593625	200.0	183.0	197.166666667	6.33552593625	1183	88547
29.6678719521	83	181.5	41.3672575837	200.0	89.0	181.5	41.3672575837	1089	89636
30.0562448502	84	200.0	0.0	200.0	200.0	200.0	0.0	1200	90836
30.3954370022	85	192.5	16.7705098312	200.0	155.0	192.5	16.7705098312	1155	91991
30.6723499298	86	174.666666667	56.64705543	200.0	48.0	174.666666667	56.64705543	1048	93039
31.0285029411	87	198.0	4.472135955	200.0	188.0	198.0	4.472135955	1188	94227
31.3575148582	88	184.833333333	33.9136976587	200.0	109.0	184.833333333	33.9136976587	1109	95336
31.7440450191	89	187.833333333	27.2054937262	200.0	127.0	187.833333333	27.2054937262	1127	96463
32.1021158695	90	198.666666667	2.98142397	200.0	192.0	198.666666667	2.98142397	1192	97655
32.4791288376	91	197.5	3.81881307913	200.0	190.0	197.5	3.81881307913	1185	98840
32.8349790573	92	200.0	0.0	200.0	200.0	200.0	0.0	1200	100040
33.2075288296	93	200.0	0.0	200.0	200.0	200.0	0.0	1200	101240
33.545361042	94	197.666666667	5.2174919475	200.0	186.0	197.666666667	5.2174919475	1186	102426
33.9021348953	95	195.0	11.1803398875	200.0	170.0	195.0	11.1803398875	1170	103596
34.1975769997	96	187.333333333	19.0058470535	200.0	151.0	187.333333333	19.0058470535	1124	104720
34.5480828285	97	183.0	38.0131556175	200.0	98.0	183.0	38.0131556175	1098	105818
34.9435670376	98	200.0	0.0	200.0	200.0	200.0	0.0	1200	107018
35.2674000263	99	195.166666667	7.47031161034	200.0	179.0	195.166666667	7.47031161034	1171	108189
